id	unit	kind	pos	cefr	cefr_source	zipf
w:allude|verb	allude	word	verb	C2	cefrj	0.00
w:allusion|noun	allusion	word	noun	C2	cefrj	0.00
w:ally|noun	ally	word	noun	B2	cefrj	4.00
w:ally|verb	ally	word	verb	C2	cefrj	4.00
w:almost|adv	almost	word	adv	A1	cefrj	5.31
w:alone|adj	alone	word	adj	A2	cefrj	5.52
w:alone|adv	alone	word	adv	A1	cefrj	5.52
w:along|adv	along	word	adv	A1	cefrj	5.25
w:along|prep	along	word	prep	A2	cefrj	5.25
w:alongside|prep	alongside	word	prep	B2	cefrj	3.75
w:aloud|adv	aloud	word	adv	B1	cefrj	3.35
w:alphabet|noun	alphabet	word	noun	B1	cefrj	3.38
w:alphabetical|adj	alphabetical	word	adj	B2	cefrj	2.83
w:already|adv	already	word	adv	A1	cefrj	5.60
w:alright|adj	alright	word	adj	A2	cefrj	5.21
w:alright|adv	alright	word	adv	A2	cefrj	5.21
w:also|adv	also	word	adv	A1	cefrj	5.55
w:altar|noun	altar	word	noun	B2	cefrj	3.80
w:alter|verb	alter	word	verb	B2	cefrj	3.70
w:alternate|verb	alternate	word	verb	B2	cefrj	3.54
w:alternative|adj	alternative	word	adj	B1	cefrj	4.00
w:alternative|noun	alternative	word	noun	B1	cefrj	4.00
w:alternatively|adv	alternatively	word	adv	B2	cefrj	2.49
w:although|conj	although	word	conj	A2	cefrj	4.70
w:altitude|noun	altitude	word	noun	B2	cefrj	3.63
w:altogether|adv	altogether	word	adv	B1	cefrj	3.85
w:altruism|noun	altruism	word	noun	C1	cefrj	2.53
w:altruistic|adj	altruistic	word	adj	C1	cefrj	2.56
w:aluminium|noun	aluminium	word	noun	B2	cefrj	2.80
w:aluminum|noun	aluminum	word	noun	B2	cefrj	3.36
w:always|adv	always	word	adv	A1	cefrj	5.84
w:am|adv	am	word	adv	A1	cefrj	6.03
w:amateur|adj	amateur	word	adj	C1	cefrj	3.86
w:amateur|noun	amateur	word	noun	C1	cefrj	3.86
w:amaze|verb	amaze	word	verb	B2	cefrj	3.22
w:amazed|adj	amazed	word	adj	B1	cefrj	3.78
w:amazement|noun	amazement	word	noun	B2	cefrj	2.79
w:amazing|adj	amazing	word	adj	B1	cefrj	5.04
w:amazingly|adv	amazingly	word	adv	B2	cefrj	3.40
w:ambassador|noun	ambassador	word	noun	B2	cefrj	4.12
w:ambiguity|noun	ambiguity	word	noun	B2	cefrj	2.68
w:ambiguous|adj	ambiguous	word	adj	B2	cefrj	2.99
w:ambition|noun	ambition	word	noun	A2	cefrj	3.89
w:ambitious|adj	ambitious	word	adj	B1	cefrj	3.82
w:ambulance|noun	ambulance	word	noun	B1	cefrj	4.39
w:amid|prep	amid	word	prep	C1	cefrj	3.07
w:ammonia|noun	ammonia	word	noun	B2	cefrj	3.13
w:among|prep	among	word	prep	A2	cefrj	4.66
w:amongst|prep	amongst	word	prep	B2	cefrj	4.08
w:amorphous|adj	amorphous	word	adj	C2	cefrj	0.00
w:amorphously|adv	amorphously	word	adv	C2	cefrj	0.00
w:amount|noun	amount	word	noun	B1	cefrj	4.55
w:ample|adj	ample	word	adj	B2	cefrj	3.23
w:amplification|noun	amplification	word	noun	C1	cefrj	0.00
w:amplifier|noun	amplifier	word	noun	B2	cefrj	2.75
w:amplify|verb	amplify	word	verb	B2	cefrj	2.75
w:amply|adv	amply	word	adv	C1	cefrj	2.37
w:amuse|verb	amuse	word	verb	B2	cefrj	3.41
w:amused|adj	amused	word	adj	A2	cefrj	3.34
w:amusement|noun	amusement	word	noun	A2	cefrj	3.56
w:amusing|adj	amusing	word	adj	B1	cefrj	3.83
w:an|det	an	word	det	A1	cefrj	6.30
w:analogy|noun	analogy	word	noun	B2	cefrj	3.16
w:analyse|verb	analyse	word	verb	B1	cefrj	2.99
w:analysis|noun	analysis	word	noun	B1	cefrj	4.08
w:analyst|noun	analyst	word	noun	B2	cefrj	3.38
w:analyze|verb	analyze	word	verb	B1	cefrj	3.56
w:anarchic|adj	anarchic	word	adj	C2	cefrj	0.00
w:ancestor|noun	ancestor	word	noun	A2	cefrj	3.43
w:anchor|noun	anchor	word	noun	B2	cefrj	3.81
w:anchor|verb	anchor	word	verb	C1	cefrj	3.81
w:anchorage|noun	anchorage	word	noun	B2	cefrj	2.84
w:anchored|adj	anchored	word	adj	C1	cefrj	2.95
w:anchorman|noun	anchorman	word	noun	B2	cefrj	2.51
w:anchorperson|noun	anchorperson	word	noun	B2	cefrj	0.00
w:ancient|adj	ancient	word	adj	A2	cefrj	4.58
w:and|conj	and	word	conj	A1	cefrj	7.16
w:angel|noun	angel	word	noun	A2	cefrj	4.67
w:anger|noun	anger	word	noun	B1	cefrj	4.38
w:angle|noun	angle	word	noun	B1	cefrj	4.17
w:angle|verb	angle	word	verb	C1	cefrj	4.17
w:angrily|adv	angrily	word	adv	A2	cefrj	3.11
w:angry|adj	angry	word	adj	A1	cefrj	4.91
w:angst|noun	angst	word	noun	C2	cefrj	2.82
w:angsty|adj	angsty	word	adj	C2	cefrj	0.00
w:anguish|noun	anguish	word	noun	B2	cefrj	3.39
w:angular|adj	angular	word	adj	C2	cefrj	2.64
w:angularity|noun	angularity	word	noun	C2	cefrj	0.00
w:animal|noun	animal	word	noun	A1	cefrj	4.72
w:animate|verb	animate	word	verb	B2	cefrj	2.50
w:animated|adj	animated	word	adj	B1	cefrj	3.20
w:animatedly|adv	animatedly	word	adv	C1	cefrj	0.00
w:animation|noun	animation	word	noun	B1	cefrj	3.43
w:ankle|noun	ankle	word	noun	A2	cefrj	3.89
w:annex|noun	annex	word	noun	C2	cefrj	3.02
w:annex|verb	annex	word	verb	C2	cefrj	3.02
w:anniversary|noun	anniversary	word	noun	A2	cefrj	4.22
w:announce|verb	announce	word	verb	B1	cefrj	4.04
w:announcement|noun	announcement	word	noun	B1	cefrj	4.03
w:annoy|verb	annoy	word	verb	A2	cefrj	3.53
w:annoyance|noun	annoyance	word	noun	B1	cefrj	2.74
w:annoyed|adj	annoyed	word	adj	B1	cefrj	3.72
w:annoying|adj	annoying	word	adj	A2	cefrj	4.20
w:annual|adj	annual	word	adj	B1	cefrj	3.88
w:annually|adv	annually	word	adv	B1	cefrj	2.71
w:anonymity|noun	anonymity	word	noun	C2	cefrj	3.04
w:anonymous|adj	anonymous	word	adj	B2	cefrj	4.02
w:another|det	another	word	det	A1	cefrj	5.70
w:another|pron	another	word	pron	A2	cefrj	5.70
w:answer|noun	answer	word	noun	A1	cefrj	5.27
w:answer|verb	answer	word	verb	A1	cefrj	5.27
w:ant|noun	ant	word	noun	B1	cefrj	3.73
w:antediluvian|adj	antediluvian	word	adj	C2	cefrj	0.00
w:anthology|noun	anthology	word	noun	C2	cefrj	0.00
w:anthropological|adj	anthropological	word	adj	C2	cefrj	2.39
w:anthropologically|adv	anthropologically	word	adv	C2	cefrj	0.00
w:anthropologist|noun	anthropologist	word	noun	C1	cefrj	2.91
w:anthropology|noun	anthropology	word	noun	C1	cefrj	2.95
w:anti|adj	anti	word	adj	B1	cefrj	3.06
w:antiaircraft|adj	antiaircraft	word	adj	B2	cefrj	0.00
w:antibacterial|adj	antibacterial	word	adj	B2	cefrj	0.00
w:anticancer|noun	anticancer	word	noun	B2	cefrj	0.00
w:anticipate|verb	anticipate	word	verb	B2	cefrj	3.38
w:anticipation|noun	anticipation	word	noun	B2	cefrj	3.32
w:anticlimactic|adj	anticlimactic	word	adj	C1	cefrj	0.00
w:anticlimactically|adv	anticlimactically	word	adv	C2	cefrj	0.00
